!2 Narrative
As OSGP I want to authorize an organisation for specific devices


'''NB: SET SCHEDULE CURRENTLY FAILS BECAUSE OF A CHANGE IN OSLP PROTOCOL''' ''(Schedule type added to request for PBI685)''


!2 Scenario: Call a device function and verify whether this is allowed.
-| scenario | function matrix | organisation | | device | | function | | group | | allowed |
|given|a registered device @device                                                  |
|and  |an organisation @organisation which is member of device function group @group|
|when |device function @function is called                                          |
|then |the device function is @allowed                                              |

-| function matrix |
|organisation|device |function                |group            |allowed|
|org1        |device1|START_SELF_TEST         |OWNER            |true   |
|org1        |device1|START_SELF_TEST         |INSTALLATION     |true   |
|org1        |device1|START_SELF_TEST         |AD_HOC           |false  |
|org1        |device1|START_SELF_TEST         |MANAGEMENT       |false  |
|org1        |device1|START_SELF_TEST         |FIRMWARE         |false  |
|org1        |device1|START_SELF_TEST         |SCHEDULING       |false  |
|org1        |device1|START_SELF_TEST         |TARIFF_SCHEDULING|false  |
|org1        |device1|START_SELF_TEST         |CONFIGURATION    |false  |
|org1        |device1|START_SELF_TEST         |MONITORING       |false  |
|org1        |device1|STOP_SELF_TEST          |OWNER            |true   |
|org1        |device1|STOP_SELF_TEST          |INSTALLATION     |true   |
|org1        |device1|STOP_SELF_TEST          |AD_HOC           |false  |
|org1        |device1|STOP_SELF_TEST          |MANAGEMENT       |false  |
|org1        |device1|STOP_SELF_TEST          |FIRMWARE         |false  |
|org1        |device1|STOP_SELF_TEST          |SCHEDULING       |false  |
|org1        |device1|STOP_SELF_TEST          |TARIFF_SCHEDULING|false  |
|org1        |device1|STOP_SELF_TEST          |CONFIGURATION    |false  |
|org1        |device1|STOP_SELF_TEST          |MONITORING       |false  |
|org1        |device1|SET_LIGHT               |OWNER            |true   |
|org1        |device1|SET_LIGHT               |INSTALLATION     |false  |
|org1        |device1|SET_LIGHT               |AD_HOC           |true   |
|org1        |device1|SET_LIGHT               |MANAGEMENT       |false  |
|org1        |device1|SET_LIGHT               |FIRMWARE         |false  |
|org1        |device1|SET_LIGHT               |SCHEDULING       |false  |
|org1        |device1|SET_LIGHT               |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_LIGHT               |CONFIGURATION    |false  |
|org1        |device1|SET_LIGHT               |MONITORING       |false  |
|org1        |device1|GET_STATUS              |OWNER            |true   |
|org1        |device1|GET_STATUS              |INSTALLATION     |false  |
|org1        |device1|GET_STATUS              |AD_HOC           |true   |
|org1        |device1|GET_STATUS              |MANAGEMENT       |false  |
|org1        |device1|GET_STATUS              |FIRMWARE         |false  |
|org1        |device1|GET_STATUS              |SCHEDULING       |false  |
|org1        |device1|GET_STATUS              |TARIFF_SCHEDULING|false  |
|org1        |device1|GET_STATUS              |CONFIGURATION    |false  |
|org1        |device1|GET_STATUS              |MONITORING       |false  |
|org1        |device1|GET_DEVICE_AUTHORIZATION|OWNER            |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|INSTALLATION     |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|AD_HOC           |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|MANAGEMENT       |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|FIRMWARE         |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|SCHEDULING       |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|TARIFF_SCHEDULING|true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|CONFIGURATION    |true   |
|org1        |device1|GET_DEVICE_AUTHORIZATION|MONITORING       |true   |
|org1        |device1|SET_EVENT_NOTIFICATIONS |OWNER            |true   |
|org1        |device1|SET_EVENT_NOTIFICATIONS |INSTALLATION     |false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |AD_HOC           |false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |MANAGEMENT       |true   |
|org1        |device1|SET_EVENT_NOTIFICATIONS |FIRMWARE         |false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |SCHEDULING       |false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |TARIFF_SCHEDULING|false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |CONFIGURATION    |false  |
|org1        |device1|SET_EVENT_NOTIFICATIONS |MONITORING       |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |OWNER            |true   |
|org1        |device1|GET_EVENT_NOTIFICATIONS |INSTALLATION     |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |AD_HOC           |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |MANAGEMENT       |true   |
|org1        |device1|GET_EVENT_NOTIFICATIONS |FIRMWARE         |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |SCHEDULING       |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |TARIFF_SCHEDULING|false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |CONFIGURATION    |false  |
|org1        |device1|GET_EVENT_NOTIFICATIONS |MONITORING       |false  |
|org1        |device1|UPDATE_FIRMWARE         |OWNER            |true   |
|org1        |device1|UPDATE_FIRMWARE         |INSTALLATION     |false  |
|org1        |device1|UPDATE_FIRMWARE         |AD_HOC           |false  |
|org1        |device1|UPDATE_FIRMWARE         |MANAGEMENT       |false  |
|org1        |device1|UPDATE_FIRMWARE         |FIRMWARE         |true   |
|org1        |device1|UPDATE_FIRMWARE         |SCHEDULING       |false  |
|org1        |device1|UPDATE_FIRMWARE         |TARIFF_SCHEDULING|false  |
|org1        |device1|UPDATE_FIRMWARE         |CONFIGURATION    |false  |
|org1        |device1|UPDATE_FIRMWARE         |MONITORING       |false  |
|org1        |device1|GET_FIRMWARE_VERSION    |OWNER            |true   |
