!2 Narrative
As OSGP I want to authorize an organisation for specific functions

!2 Scenario: Call a platform function and verify whether this is allowed.
-|scenario|function matrix|function||group||allowed|
|given|an organisation which is member of platform function group @group|
|when|platform function @function is called|
|then|the platform function is @allowed|

-|function matrix|
|function|group|allowed|
|CREATE_ORGANISATION|admin|true|
|CREATE_ORGANISATION|user|false|
|GET_ORGANISATIONS|admin|true|
|GET_ORGANISATIONS|user|true|
|GET_MESSAGES|admin|true|
|GET_MESSAGES|user|false|
|GET_DEVICE_NO_OWNER|admin|true|
|GET_DEVICE_NO_OWNER|user|false|
|SET_OWNER|admin|true|
|SET_OWNER|user|false|
|UPDATE_KEY|admin|true|
|UPDATE_KEY|user|false|
|REVOKE_KEY|admin|true|
|REVOKE_KEY|user|false|
